subjectID,l_fit,beta,tau,condition,NLL,AIC
2f00cejq,14.368796356115308,0.9338862062745263,0.07245015970846802,0,790.5182957316127,1591.0365914632255
qol84cpr,12.60861575526063,0.006739288250424632,0.07920066565073225,0,836.0306560662722,1682.0613121325443
1n75pw58,0.6427003580288104,0.4161358335217636,0.06183682048703282,0,453.1526167814113,916.3052335628227
28zss8zo,10.201781475373544,0.006737946999085467,0.05188879399664209,0,584.5432444357675,1179.086488871535
dvve9pgf,6.124367124768734,0.006737946999085467,0.059857851940059326,0,620.9172903874869,1251.8345807749738
ez5nwule,8.283728371895057,0.22010718021719355,0.04907745336843643,0,612.551219691274,1235.102439382548
et0kuusz,1.115370676785986,0.006737946999085467,0.03970059636390032,0,293.89350470528257,597.7870094105651
on95gvhw,8.70912595083124,0.006737946999085467,0.04746519286485279,0,677.0005891409304,1364.0011782818608
h4g65ryu,17.98443005737273,0.006737946999085467,0.036195538892491705,0,747.4968470890292,1504.9936941780584
4z1o75zp,3.392596105877138,0.0505777059916488,0.03721231316927123,0,572.857589315571,1155.715178631142
3tyq8bzq,11.826912653882886,0.5590488627000056,1.0146600175026332,0,1013.1479863000983,2036.2959726001966
0scns8fh,18.877371869878854,0.006737946999085467,0.0683584337054467,0,953.9031890524681,1917.8063781049361
3f2c5lhp,4.749050016750635,0.04681672563888663,0.07276296474105287,0,701.8526493468556,1413.7052986937113
23fx2n0v,1.1597288634304794,0.024870141617470195,0.0357914517912821,0,317.9895450749907,645.9790901499814
mte6huys,21.817482556298337,0.006737946999085467,0.050493622187313424,0,589.5729257788951,1189.1458515577901
a8ps9sdf,10.164364539310201,0.006737946999085467,1.0700973975084018,0,1037.0909867620799,2084.1819735241597
5l05oj47,10.664878276620223,0.006737946999085467,1.1798659128151114,0,1016.1746051862266,2042.3492103724532
wbxpjhzw,0.6675506685795842,0.13290709681538654,0.032803053850262234,0,512.4240536661079,1034.8481073322157
6fu1vnrn,14.154133431172756,0.006737946999085467,0.048073557150367756,0,729.0042463276225,1468.008492655245
rnrzj41w,14.408258137473819,1.7260185835840591,0.06011180798693336,0,758.6657846996895,1527.331569399379
hy9efhu6,4.293268194461913,0.2906165111647121,0.057359399468310035,0,626.2431958005576,1262.4863916011152
z978tvl5,11.272026952900568,0.6687146713225942,0.07193887394620038,0,721.603533739816,1453.207067479632
uj6zfcm0,17.304128363438252,1.1962429674877255,0.07973667281139374,0,818.0153951580794,1646.0307903161588
xdd8fo9z,18.773155931692543,0.8950460942160354,0.09435558917334066,0,905.7751084432883,1821.5502168865767
hanc2y2m,0.6168360705146099,0.18666606889523546,0.041308042186285455,0,595.8593132652899,1201.7186265305797
o3y9yzef,0.8506523861696584,0.16442796505164164,0.04395746797424665,0,548.4216057648223,1106.8432115296446
9fztwznf,3.9586205885137065,0.08038887403763598,0.05576581077949237,0,768.3779575670623,1546.7559151341245
bbcfhwnz,0.6405772774605822,0.300247942138194,0.05521432683381279,0,573.7100600172312,1157.4201200344623
2xmlbgk1,15.727665160747968,1.0044601361553982,0.05968581166361665,0,835.2634998541797,1680.5269997083594
0vry5ube,19.371641772778467,1.063312862555629,0.06703691888071046,0,698.1909570271916,1406.3819140543833
s6mhm6ft,5.9625895443752155,0.5647207331646321,0.0888040774431341,0,839.6047182748835,1689.209436549767
bhk2nvdy,13.707540817270171,0.38986391517419694,0.051771439193445574,0,722.8642835753533,1455.7285671507066
c9fy7x92,10.667230029486056,0.7457731682905552,0.07941902520820451,0,768.44599766202,1546.89199532404
u4h0rknc,0.626809960420029,0.1230143675017082,0.038668958564172434,0,633.4828708978848,1276.9657417957696
2z7pz06e,15.319761681462573,0.9657604444545649,0.05595778593815631,0,780.3728840172221,1570.7457680344442
6gzo3kny,0.5474004360325487,0.07685221881488569,0.03248642540354227,0,290.71890835808256,591.4378167161651
ummoyn5b,0.28059192181485193,1.4584165547486403,0.28471197304855905,0,667.6465594849669,1345.2931189699339
nrv2ltos,14.504686452596204,0.7522863709014653,0.06189411994333595,0,776.4170235181009,1562.8340470362018
tcd29yg9,17.325885755302807,0.5025181865750017,0.08286764799528533,0,843.1133692104187,1696.2267384208374
qulmqfln,0.73834856411527,0.4107828222142742,0.07927957424897647,0,678.185339738783,1366.370679477566
1fzhpzza,13.549571211407656,1.0362562995969187,0.06800510251595679,0,824.4444187113751,1658.8888374227502
eqca3bl9,0.44464104779549457,1.0520330630022583,0.24590705021393705,0,832.6036458165365,1675.207291633073
lgtg6cjw,0.8989717522078318,0.44135877149042946,0.08366532368697921,0,719.2655663767972,1448.5311327535944
3zy8k7oh,13.266383330952593,1.0771012076750286,0.0662944173591743,0,757.3988440344232,1524.7976880688464
rvya0qp8,0.6980748562673467,0.4743776281782232,0.080342592083741,0,567.9275359078863,1145.8550718157726
hzwr2bmw,11.537614983719363,0.6414712358570265,0.08395093832326056,0,774.1443259986501,1558.2886519973001
gj6jtxzq,0.7621262679870301,0.38493215872878495,0.06921912629711137,0,590.3061689119428,1190.6123378238856
okuug6ro,22.250369672456134,1.4414637644721382,0.0737621563013506,0,846.3359217924793,1702.6718435849587
fr9eyqln,0.7388070981727923,0.43105398320899335,0.0808629697877981,0,601.3184418568262,1212.6368837136524
pkup4jsd,0.9080744699855492,0.3936780102074209,0.07786209074944012,0,694.8976103052628,1399.7952206105256
qkprp7u8,0.7529619918666379,0.41431505334547103,0.07884080395990192,0,671.3479775275475,1352.695955055095
0pgnsg7b,0.9090819253361035,0.43471742875311803,0.08047111417700248,0,678.8607542071811,1367.7215084143622
l8ysv03y,0.6337272433965663,0.35797175280710036,0.0611588238628146,0,554.8058022700537,1119.6116045401075
n23x07jd,0.7194073199469637,0.40134760992889096,0.06846159661943846,0,589.2880818723615,1188.576163744723
tl83w2xc,0.7473127195216964,0.4406799002965889,0.08065164525490562,0,596.5080946083872,1203.0161892167744
s23q96aj,0.7529818188912294,0.34457929152979394,0.07015397209730517,0,665.6708350977649,1341.3416701955298
9jehfmot,0.808770199213636,0.3866084607684043,0.07134877069276138,0,644.7476275252637,1299.4952550505275
qs8ywncu,0.69104538842204,0.36600287439624957,0.06787846743300271,0,616.0977963635607,1242.1955927271215
0a6a9q2l,0.6912998906096333,0.35399833885529164,0.06238448239222357,0,555.7307365403392,1121.4614730806784
lgyrvhz9,2.371197810172726,0.18018796632267506,0.038624101183545666,0,461.9216319222145,933.843263844429
wkbe3ber,0.5916929706882108,0.3840369306869967,0.0706784253849368,0,724.0909308867064,1458.1818617734127
vffduu0s,0.6601350442357855,0.3259839627366872,0.05587837537802308,0,564.7062255134795,1139.412451026959
6ktxvhv6,0.7988161811088922,0.3601449880407742,0.0600095663020766,0,547.5322448647803,1105.0644897295606
97ocjb6n,0.709130851766208,0.3189492662834137,0.056821997294950286,0,606.9850570778972,1223.9701141557944
k7c9p0th,0.7886913085577798,0.4685098549429769,0.095220072836499,0,689.6900420501745,1389.380084100349
mu0qm1l4,0.51566158739509,0.4021965326079376,0.07156131640912625,0,621.1052144750714,1252.2104289501428
pdpu75ae,1.482988756803485,0.006737946999085467,0.039233302140060614,0,425.2094535796077,860.4189071592155
ws26lh5t,5.935358632811205,0.006737946999085467,0.040638914539496904,0,611.358412106826,1232.716824213652
f97x5a7b,6.283444711317342,0.006737946999085467,0.05604913541143873,0,502.0143223854375,1014.028644770875
t05dwmza,10.824544239140211,0.006737946999085467,0.051535319601709734,0,611.2614548374884,1232.5229096749767
70k36ppc,5.787969658525267,0.006737946999085467,0.052155993131626555,0,649.8708726956748,1309.7417453913497
aqhlltdg,3.9888368933230103,0.006737946999085467,0.06148058955217026,0,633.4269283255738,1276.8538566511477
vqspl1ff,14.867237223557748,0.32411852055546475,0.066123578106064,0,685.8133496061306,1381.6266992122612
r1nr0t86,7.436359936826451,0.01472740540767243,0.04483268699268453,0,598.6188425009445,1207.237685001889
1y6254d1,3.809613684669216,0.006737946999085467,0.04592008677521848,0,565.8618670883009,1141.7237341766017
4aqbvkeg,1.2262706190830719,0.006737946999085467,0.029818570853759156,0,495.1082283483865,1000.216456696773
0e8cp3ts,6.532507451112698,0.006737946999085467,0.05944690299853063,0,620.2462540438227,1250.4925080876453
uo65uyqg,12.089970627716916,0.006737946999085467,0.05118756600313981,0,611.094443524527,1232.188887049054
okkwdmuz,14.001771987416763,0.6483879163377546,0.06474127767703786,0,746.9542721209536,1503.9085442419073
dd2vv1pc,14.633010868243975,0.006737946999085467,0.04728921471457944,0,556.8477956122391,1123.6955912244782
r95qjqzn,9.274160280563043,0.006737946999085467,0.14342421398200111,0,984.3644293645101,1978.7288587290202
on1bl8yv,19.531562303355518,0.3235599432364459,0.06964643618415906,0,752.6637074044627,1515.3274148089254
pcxgxry4,10.981862909657998,0.17833122948011845,0.05258191492098703,0,585.3005408187497,1180.6010816374994
0u0s8efv,1.2456116263887784,0.22725550995057597,0.0644261419032773,0,780.7283184320662,1571.4566368641324
sjses643,14.46467178372658,0.006737946999085467,0.05739543527373528,0,806.2437629575394,1622.4875259150788
yjk4v9ot,13.867260321495529,0.006737946999085467,0.0503101228287521,0,511.2505337495749,1032.50106749915
8scmmnfe,1.316338176467597,0.18974357407497972,0.03733200143634792,0,459.26611627251407,928.5322325450281
lp2mqb2q,4.323255401305652,0.16842422590947465,0.05393787038141303,0,560.9842182941078,1131.9684365882156
gjx1xqve,20.66224880003213,0.006737946999085467,0.04547067156468437,0,717.9012522236866,1445.8025044473732
qnvv8yqa,19.36290921694765,1.2874589109941383,0.12524260406455043,0,978.8319685993655,1967.663937198731
nuy037dr,5.566213898145717,0.20528497591889094,0.06731012853677111,0,828.79861871623,1667.59723743246
q7lmjhfx,5.3995311327080735,0.9228532713789263,0.4245299317392647,0,1003.5626241529468,2017.1252483058936
2fnxwnvs,15.16128444441009,0.8989801688649286,0.054459934114749996,0,695.3313478310589,1400.6626956621178
uex0utrw,1.8891742714613917,0.09542133745125722,0.04677494611156278,0,628.748389422743,1267.496778845486
3hfyjwzt,10.178899336478633,0.48258585175225427,0.06068522204671002,0,676.2327181830819,1362.4654363661639
5q9pdlcx,17.704656127362707,0.9750859566542585,0.06017073871678283,0,730.2727956592157,1470.5455913184314
226lmynp,17.1816052060688,0.02074861438753338,0.049532075574987636,0,544.5892522074091,1099.1785044148182
f2u49qkb,0.3733855562575801,0.16554605944954906,0.06232279951834211,0,985.7851140454619,1981.5702280909238
7lf01veg,12.254015556454217,0.6870338268541322,0.07035477256443179,0,757.0944539104412,1524.1889078208824
abvg6ws6,14.882683114486536,1.2964437221456089,0.1427114188649865,0,984.3295596999913,1978.6591193999825
93cyuzq9,0.7479141644834444,0.43622218707097293,0.07949611364901252,0,791.6178571146022,1593.2357142292044
cvn547tp,3.297468265407727,0.03501049266028469,0.060488026388422156,0,562.6173922807461,1135.2347845614922
o1ev7h6r,0.660154630273757,0.10426711258878885,0.03360646295853777,0,365.88728457608715,741.7745691521743
v6rahg9p,4.065728810661371,0.3525622634780156,0.05422759605286967,0,647.7812177993708,1305.5624355987416
9gmqg3ya,11.417832565694798,0.6432106597879059,0.05941079079229071,0,632.5509627321611,1275.1019254643222
ovbum0qq,11.975881150331741,0.7580437250726798,0.06344144029700502,0,788.9918315123055,1587.983663024611
ac20tx2t,0.4945188015801799,0.4086425622576725,0.08555250295429556,0,777.2900968960926,1564.5801937921851
wgsfuezt,10.193185971510761,0.6549804586009416,0.0693325527785635,0,819.2699272229041,1648.5398544458083
bf9my2xy,15.410557184064189,0.6675146087113835,0.04869976611314454,0,692.1476067449463,1394.2952134898926
4jsxpoh0,11.903309572355187,1.2250211869178111,0.07126751719304908,0,787.5580495801298,1585.1160991602596
lsedd4sa,0.8085149643086453,0.2853025378387034,0.07219156867320427,0,769.443792319518,1548.887584639036
araqn644,0.7218667556727066,0.5055799547454977,0.09994709508717575,0,802.3150400591,1614.6300801182
1u45u548,2.384515985642437,0.18235753621621048,0.05323873357072839,0,571.0683729843842,1152.1367459687683
82z353d6,6.727502565865146,0.006737946999085467,0.056703906617635275,0,581.3458372302395,1172.691674460479
3hnhlq41,9.112853224707283,0.5024208632148472,0.07768695871035425,0,784.9344916933062,1579.8689833866124
sm3b4qz5,0.8111463450080683,0.4320888226027107,0.08026713856863021,0,594.7786584918497,1199.5573169836994
rp6yd4ek,0.7096139549938665,0.38947326987466235,0.07449054949856039,0,678.5582597269956,1367.1165194539913
f421z9m5,0.6278809554720639,0.44129890892320045,0.08526736487817421,0,677.5425732708052,1365.0851465416104
dl4eyqbx,0.8173552623430648,0.43541850920975966,0.07986192159505913,0,624.7100553486035,1259.420110697207
sn8pstys,0.576435634001891,0.531056898254807,0.10612331277961602,0,704.6045586550928,1419.2091173101855
3tfwxrwx,14.858788617401775,1.264598244286293,0.11376096462645582,0,987.7008538256292,1985.4017076512584
l1yxf867,0.7907657714168888,0.3554778577609863,0.07937346828200774,0,805.7126718313873,1621.4253436627746
zaycgqlg,0.7670367595666371,0.4212074558160397,0.07673556043110967,0,574.4073884685725,1158.814776937145
e8ga874k,0.6415589395598622,0.07362321333931082,0.01891353581057422,0,349.1255377235055,708.251075447011
4m8m3pah,0.7223382614287535,0.39319913564030373,0.07668726966990715,0,671.0778000913708,1352.1556001827416
po8p7b2t,11.074543706745146,1.3919814054321165,0.07291335155835396,0,795.3002196548947,1600.6004393097894
fgkau3dc,10.169759069362968,0.7942974961827416,0.07763145534504717,0,830.3789066774383,1670.7578133548766
s0k86u6z,0.5191651209511146,0.38030634384873885,0.066589898315083,0,584.7205549898865,1179.441109979773
