subjectID, l_fit, beta, tau, phi, NLL
tfo25hg6,0.4996050887007711,0.08207252232564652,0.00853176153282939,0.00994237203706147,903.9385515482111
2afofhvb,0.4858889839814641,0.006737946999085495,0.006737946999085473,0.007867506563010471,409.89842230249474
vycl1zhc,5.964695083049287,0.006737946999085467,0.023130149315597162,0.03694320214237346,1413.6682951037885
qteoc9yq,0.5510642883888079,0.236581937069349,0.03025918298212381,0.02856173767917374,2821.222787177441
q657w3bx,0.7512040556122108,0.15709596515662713,0.027016370511440225,0.028331115334378074,2092.492847907654
z0cycwmr,0.34314734664708413,0.006737946999085506,0.023175331701210937,0.02225794713528464,2442.6507180769104
3kzm2l3d,4.383244809287869,0.006737946999085604,0.01379639974869224,0.016664485945589655,1223.2553338204132
13b88a7t,17.304592564704315,0.006737946999085554,0.023608406034898805,0.0190350886470677,2670.3371094885943
vo0jdo2s,10.733483347200735,0.006737946999087238,0.02090275654677079,0.026380444342375124,2325.112047129949
tvfjsmy7,6.608971121420099,0.006737946999085467,0.03357377893095162,0.042350810622467476,2239.083725146823
sjogef5y,6.764026976850509,0.006737946999090114,0.020607188975246528,0.02291103660577487,2244.7806020930134
5arrkqh8,2.6285797998920915,0.006737946999085491,0.026682169469705003,0.015496835333476497,2207.11095856243
su6jufgg,6.833567470625617,0.006737946999085467,0.021424543292053646,0.02802389629689975,1436.0144158903897
891hh3ok,0.8459948036570057,0.013886751073972924,0.03071074112482037,0.04374791814918577,1965.4969708938252
hsac5l5n,6.488299120055373,0.006737946999085485,0.024108014166832496,0.027916398073543958,2017.9965812395642
ho4clsx6,8.820021837908236,0.006737946999085488,0.023280331459346007,0.03572316349747621,1354.6658743242242
b95mng52,3.825463896540377,0.006737946999085494,0.02053047157257202,0.028149364330193556,1721.337873650649
telhn8yv,5.402713486316253,0.006737946999085844,0.015719726203963287,0.023501290258944582,1370.0165343807823
49te4nmn,0.645739986377584,0.00938031779381561,0.03499871288923663,0.06056560182956375,1586.6348128720533
r4pendb6,4.829795091791589,0.006737946999085467,0.07236478146377041,0.09610517229639212,3196.107601803194
px4hz1np,0.2950368919985542,0.03285814469389175,0.02173353760745837,0.020543241382651692,1951.3244283202098
wy58v2u3,2.6936123895872655,0.006737946999085467,0.015436047268567017,0.022904979424790178,864.812479459776
1qchwhpj,0.28336772907655594,0.29091419610220637,0.04789278920828226,0.05863896810741798,3043.4614801815596
t1cuv6ul,3.8511351133594065,0.006737946999085571,0.02373982498161135,0.023408889138653674,2332.0727476428533
xq1002d0,0.471541954567673,0.08606995338192133,0.017331928139902683,0.024028852978213826,1094.8275931443332
zt8zaosl,14.184627797363998,0.006737946999085494,0.01645668013933963,0.02039965762463425,1708.4703269776812
o4ft3bcn,13.42664417983499,0.006737946999085485,0.030603615458063928,0.0334224952308282,2336.623817735439
2afofhvb,0.4856011360883451,0.006737946999085467,0.006737946999085572,0.007871831145482268,239.54055179136031
tfo25hg6,0.49931806114622546,0.08206684495166913,0.008524547653891077,0.009885811648190926,711.8218254659453
tjcjjebm,6.8626785992754815,0.006737946999085467,0.01667417555930181,0.02661491009372007,639.063607693634
qteoc9yq,0.5577222392789938,0.2364260560229783,0.03039042340863735,0.028525174387682463,1898.7103788269171
yedbsv8m,2.515261728754112,0.19375361265172497,0.028725486733961372,0.039841064669060025,1262.0250229522458
stuh07oj,10.823850995895809,0.006737946999085467,0.6237661510632786,0.7411941776043741,2330.8085686026398
tjuse8lf,5.520290209761541,0.006737946999085467,0.026017743470691957,0.02960799239758615,1207.0283198142567
vycl1zhc,6.001027898134919,0.006737946999085503,0.023352170643797417,0.03754166662581028,1000.4569259638919
z0cycwmr,0.3437282208097423,0.006737946999085467,0.02315599679705172,0.02167333389556521,1538.7334211094226
q657w3bx,0.7507686936176894,0.15041017473263577,0.02784295513538042,0.028612140833299465,1541.3285705079593
9x82tfkx,4.937304936745535,0.006737946999085467,0.028398530335141024,0.03177856928518828,1234.4494088981307
su6jufgg,6.936241087219482,0.006737946999085467,0.021195153817216948,0.027817738675873567,1039.396355591157
