"","X","subjectID","l_fit","beta","tau","phi","block_nr","trial_nr","initial_opened","selected_choice","reward","average_reward","initial_opened_value","selected_choice_value","type","rewarded","trial_nr_c","block_nr_c","animal_opened","animal","prev_reward","distance_prev","distance","new_click","HV_click","logtrial","logdistance","logdistance_prev","loground","prev_reward_c","rres"
"11",11,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,10,375,370,52.2951672716793,43.615085465527,"shrimp","sheep","sell",TRUE,0,-14.5,"shrimp","sheep",52.3616572101629,0,0,FALSE,TRUE,0.296949586869625,0,0,-2.97626501101335,0.123945745826203,17.1683389056737
"12",12,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,11,375,447,31.1751269566586,42.6581655802294,"shrimp","wolf","sell",TRUE,1,-14.5,"shrimp","wolf",52.2951672716793,5.4077,4.2352,TRUE,FALSE,0.405999972518338,0.71893327765521,0.806702170461561,-2.97626501101335,0.119746417645067,17.1018489671902
"13",13,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,12,375,29,53.7278477447306,43.4488571634081,"shrimp","bird","sell",TRUE,2,-14.5,"shrimp","bird",31.1751269566586,5.6498,3.8645,TRUE,FALSE,0.50631660285056,0.687038207728654,0.82280858361851,-2.97626501101335,-1.21413931761491,-4.0181913478306
"14",14,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,13,375,29,53.5974013742098,44.1254267774615,"shrimp","bird","sell",TRUE,3,-14.5,"shrimp","bird",53.7278477447306,0,0,FALSE,TRUE,0.599195295529687,0,0,-2.97626501101335,0.210230716807575,18.5345294402414
"15",15,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,14,375,29,54.1299749797963,44.7507110401074,"shrimp","bird","sell",TRUE,4,-14.5,"shrimp","bird",53.5974013742098,0,0,FALSE,TRUE,0.685663289750269,0,0,-2.97626501101335,0.201992069993521,18.4040830697207
"16",16,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,15,375,29,52.5806167359762,45.2112937280997,"shrimp","bird","sell",TRUE,5,-14.5,"shrimp","bird",54.1299749797963,0,0,FALSE,TRUE,0.76654869649528,0,0,-2.97626501101335,0.235628006519767,18.9366566753071
"17",17,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,16,375,29,54.1590648423445,45.7083921233355,"shrimp","bird","sell",TRUE,6,-14.5,"shrimp","bird",52.5806167359762,0,0,FALSE,TRUE,0.842528856994034,0,0,-2.97626501101335,0.137774648788758,17.3872984314871
"18",18,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,17,375,29,52.7223951526554,46.0775501775103,"shrimp","bird","sell",TRUE,7,-14.5,"shrimp","bird",54.1590648423445,0,0,FALSE,TRUE,0.914164857801813,0,0,-2.97626501101335,0.237465245091043,18.9657465378553
"19",19,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,18,375,29,54.1504372399224,46.4811945306309,"shrimp","bird","sell",TRUE,8,-14.5,"shrimp","bird",52.7223951526554,0,0,FALSE,TRUE,0.981926701533818,0,0,-2.97626501101335,0.146728997585224,17.5290768481663
"20",20,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,19,375,29,53.748184444504,46.8272416693868,"shrimp","bird","sell",TRUE,9,-14.5,"shrimp","bird",54.1504372399224,0,0,FALSE,TRUE,1.04621201372721,0,0,-2.97626501101335,0.236920348602747,18.9571189354332
"21",21,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,20,375,29,53.7787113556108,47.1432175642151,"shrimp","bird","sell",TRUE,10,-14.5,"shrimp","bird",53.748184444504,0,0,FALSE,TRUE,1.10736018081316,0,0,-2.97626501101335,0.211515128831671,18.5548661400148
"22",22,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,1,0,112,220,50.3792938061741,33.7685961120534,"deer","kingfisher","sell",TRUE,-10,-13.5,"deer","kingfisher",17.1578984179327,7.8485,7.8485,TRUE,FALSE,-2.70830574054639,0.946869655224829,0.946869655224829,-2.14729162433539,-2.09943029797293,-18.0354198865565
"23",23,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,1,1,112,346,28.797171477787,32.1114545672979,"deer","rat","sell",TRUE,-9,-13.5,"deer","rat",50.3792938061741,7.5798,7.5798,TRUE,FALSE,-1.83959213128597,0.933477164316218,0.933477164316218,-2.14729162433539,-0.00125506947723508,15.185975501685
"24",24,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,1,2,112,406,46.2505748632319,35.6462346412814,"deer","swan","sell",TRUE,-8,-13.5,"deer","swan",28.797171477787,5.317,3.9939,TRUE,FALSE,-1.3314272460025,0.698439841603032,0.800510876894368,-2.14729162433539,-1.36432467924485,-6.39614682670222
"25",25,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,1,3,112,406,47.3322043607711,37.9834285851794,"deer","swan","sell",TRUE,-7,-13.5,"deer","swan",46.2505748632319,0,0,FALSE,TRUE,-0.970878522025556,0,0,-2.14729162433539,-0.262014008415979,11.0572565587427
"26",26,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,1,4,112,50,14.3174446343949,34.0390979267153,"deer","bullock","sell",TRUE,-6,-13.5,"deer","bullock",47.3322043607711,6.0452,6.0452,TRUE,FALSE,-0.691215204793625,0.847893326425288,0.847893326425288,-2.14729162433539,-0.19370115786816,12.1388860562819
"27",27,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,1,5,112,151,38.5143966961774,34.6784263223527,"deer","fox","sell",TRUE,-5,-13.5,"deer","fox",14.3174446343949,6.8837,3.084,TRUE,FALSE,-0.46271363674208,0.611085733414873,0.896730089627765,-2.14729162433539,-2.27882582596497,-20.8758736700943
"28",28,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,1,6,112,84,59.5634449466668,37.789053650392,"deer","clam","sell",TRUE,-4,-13.5,"deer","clam",38.5143966961774,7.4188,6.4496,TRUE,FALSE,-0.269518313730731,0.872132954297757,0.925250192388173,-2.14729162433539,-0.750610504849966,3.32107839168824
