subjectID, l_fit, beta, tau, NLL
2afofhvb,0.4860494551415746,0.006737947001567143,0.0067379469997510995,275.38629939791184
su6jufgg,7.480028200686727,0.006737946999085467,0.019539277521403515,1222.4902252524962
13b88a7t,17.406038038800176,0.006737946999085467,0.022245954518341486,1927.1292938616173
0lvykqjq,0.35831691885859723,0.006737946999085473,0.023323737867624227,1177.1927436736232
9x82tfkx,4.429708759986605,0.006737946999085467,0.024592775787324904,1378.06901507041
t1cuv6ul,3.983502170601258,0.006737946999085467,0.02154328283423965,1683.0243493244263
tjuse8lf,5.566191758174249,0.006737946999085467,0.023104452541928014,1353.8644195341178
wy58v2u3,1.1695010087430266,0.006737946999085467,0.012063031400790604,627.2534267933509
yedbsv8m,5.332021251099359,0.006737946999085467,0.028888710896388184,1477.700207196411
o4ft3bcn,13.211503389532886,0.006737946999085467,0.027550916804276945,1640.3456692304762
z0cycwmr,0.5523605445119931,0.006737946999085467,0.02040382946312896,1671.8032386615835
eyjl6nlh,0.6540087343556795,0.006737946999085467,0.025059603913623087,1560.585738448434
tjcjjebm,5.66952769396525,0.006737946999085467,0.013660288168232842,803.4635434812028
telhn8yv,5.344203593280734,0.006737946999085467,0.012937853693912354,1140.6490353660759
vycl1zhc,5.596793565198737,0.006737946999085467,0.018931184864492908,1275.5275952769543
3kzm2l3d,2.406206836707053,0.006737946999085467,0.012917111144035799,1124.8345705039542
stuh07oj,10.753944889719357,0.006737946999085467,0.748073392934235,2689.209558282925
5arrkqh8,2.58790371330754,0.006737946999085467,0.02593647680944575,1396.192935079224
b95mng52,0.32304005673530667,0.0067379469990854705,0.017199349422596336,1422.532104634537
zt8zaosl,14.41138547406893,0.006737946999085467,0.014607675117907271,1419.9930930021314
3lreml0m,0.32700450939504266,0.24359848975585408,0.027552399004789327,1747.7670968099485
qteoc9yq,0.5473491954067871,0.2331503013701522,0.02792879908616873,2018.8312119628642
hsac5l5n,6.024981120401584,0.006737946999085473,0.02059071463987971,1552.1151973011342
sjogef5y,3.243913998238073,0.006737946999085467,0.017763510311371376,1498.9118180680891
u5czu3x2,12.72309914011326,0.006737946999085467,0.02356620735880527,1682.2679127977403
tfo25hg6,0.4862456946139939,0.07559333037021936,0.007519899214944741,789.4673358073032
09xteqjn,2.1863582635313366,0.04664004503856333,0.01865447910405049,1201.2193229063178
ho4clsx6,9.08770802244079,0.006737946999085467,0.01788539836932025,1038.7449714247996
0u4udut6,6.800895212878958,0.006737946999085467,0.0364419901772847,1803.3754866166998
kkmo4vcy,0.4825411984133459,0.0844906627653681,0.018893188224413382,1433.876111386193
vo0jdo2s,10.620093912020767,0.006737946999085473,0.01663721094591763,1883.653505657064
q657w3bx,0.6775280831735676,0.1471158999631833,0.02540626754410491,1682.9259340860017
49te4nmn,5.317540294057407,0.006737946999085467,0.027054673627145788,1518.5457492217818
227kvvc9,2.1720525463604226,0.16373936571779535,0.029435456599188947,1820.8914175228917
je972k7f,0.750703378152135,0.6086301605133069,0.07737678178299068,2457.5965131209305
tvfjsmy7,0.4744387462008176,0.07446738379044825,0.028508464839413855,1766.113712202068
jwdsedgu,1.3646468296345005,0.8890720935515357,0.09317461406637394,2462.6835219939953
px4hz1np,0.2927705239192844,0.02289323981819537,0.020309502695672513,1376.8781253323643
x3suumw2,0.7091824423910699,0.35888509933992674,0.04640007714141704,2305.341116231043
r4pendb6,2.903021994971881,0.006737946999085467,0.055702480764685654,2518.283752991983
891hh3ok,0.8640916427875827,0.006737946999085467,0.026278071484347312,1632.4722932777215
1qchwhpj,0.28326273042076305,0.25444947951886265,0.04011604705449509,2357.4974501982083
oxycjd7q,2.2285858606854796,0.1077061165544933,0.02497360610771448,1420.2423113663278
xq1002d0,0.5070307648191645,0.07614195734587823,0.014796188215331622,924.3087294014293
tfo25hg6,0.4862630995160717,0.07559334133332461,0.007519913268187622,789.4680916445307
qteoc9yq,0.5473522674475471,0.2331493509831306,0.02792882590576093,2018.8324793069728
