subjectID, l_fit, beta, tau, NLL
yedbsv8m,2.2225320262182486,0.006737946999085467,0.03275389981535052,1558.6779327771542
stuh07oj,16.058263266215445,0.006737946999085562,0.12150314930446982,2543.351908232274
q657w3bx,1.9151103496890447,0.006737946999085628,0.026610824735326118,1575.5317047397598
tjuse8lf,1.7610718934103846,0.006737946999203243,0.025424209179393358,1443.319423674214
2afofhvb,0.44583881971480355,0.006737946999085467,0.006737946999085467,333.5876145484531
t1cuv6ul,1.5825518738002393,0.0067379469990854705,0.030150286749495846,2020.8785289787716
9x82tfkx,1.761260690853777,0.006737946999085467,0.0262680634747349,1356.3792421744688
tjcjjebm,1.4634549873727853,0.0067379469990975285,0.014324404705098819,813.8731730463527
vycl1zhc,1.3051391390218852,0.006737946999085467,0.0204068196508065,1376.9022906240534
jwdsedgu,3.9908339600486955,0.006737946999085479,0.19891200314662272,2566.696152916132
0lvykqjq,0.3673868623343398,0.006737946999085467,0.026700203337439887,1249.2328717372995
x3suumw2,1.994515931969576,0.006737946999085467,0.06917234761581198,2332.376181395312
qteoc9yq,0.5100484308539879,0.006737946999085467,0.04292239689331957,2131.2623694427602
tfo25hg6,0.3244264416932793,0.0067379469990854705,0.010689124262652797,1033.3557000424794
tvfjsmy7,1.6304275454672243,0.006737946999085467,0.03243453417638433,1681.6303832329368
z0cycwmr,0.33596044528529206,0.006737946999085483,0.021963412194795882,1641.000925535143
je972k7f,0.3824607165629209,0.0067379469990854705,0.16324809299834536,2569.1696806611576
o4ft3bcn,0.32547142412806973,0.006737947002869388,0.029831364757678842,1587.975335246447
09xteqjn,0.8159685264628719,0.006737946999085473,0.019845151473179203,1143.4308114671983
su6jufgg,1.5861713285777392,0.006737946999085467,0.020906296374157127,1195.7892166950312
b95mng52,0.3304685126352348,0.006737946999085467,0.018608374019106658,1524.9521488323935
kkmo4vcy,1.0693065554064374,0.0067379469990854705,0.02227128952335645,1380.0476537925006
0u4udut6,1.6908447674441205,0.006737946999085467,0.03910996896940462,1731.5738078633642
3kzm2l3d,1.0663492317624597,0.006737946999085479,0.014093763092716299,1229.8597669854275
13b88a7t,5.152158282528655,0.006737946999599547,0.025188721316564435,2055.6839620924716
eyjl6nlh,0.5936220648624726,0.006737946999085479,0.02761738782723845,1463.7528377245899
3lreml0m,1.5544187886539769,0.006737946999085467,0.04022421457263172,1927.0530896086725
px4hz1np,0.2813660249775909,0.006737946999085473,0.01945624451275052,1319.5902931694566
5arrkqh8,1.167841924435307,0.006737946999085776,0.02580842246851972,1274.426623078427
49te4nmn,0.5964611497140488,0.006737946999085467,0.03351943580824,1531.0062572265801
zt8zaosl,1.8881510288864671,0.006737946999090401,0.01565213794134069,1417.8151974329226
telhn8yv,1.9129259744858862,0.006737946999119573,0.015141775092799473,1206.7330922810897
wy58v2u3,0.7977166017550781,0.006737946999085467,0.013081963023950267,608.6736764567921
r4pendb6,1.360968341629497,0.006737946999085805,0.07631717648036254,2500.570194101677
xq1002d0,0.5069956859097755,0.006737946999085467,0.022945721117777314,1446.3975003962344
hsac5l5n,0.2903955713117098,0.0067379469990854705,0.02159733762615491,1605.9565339255266
sjogef5y,0.2831651606447382,0.006737946999085473,0.018857700690988265,1519.2783840399356
1qchwhpj,1.4098973372974943,0.0067379469990854965,0.05977612652747734,2434.1495482054634
227kvvc9,2.008162124866274,0.006737946999085467,0.03644802949297214,1802.7959297123896
u5czu3x2,0.6934264372147028,0.006737946999085495,0.030209042591377855,1775.8044836004685
vo0jdo2s,0.3070648686106914,0.006737946999085467,0.02167644964994993,2099.0958380637135
oxycjd7q,1.6195469158421005,0.006737946999085467,0.030418678737392978,1448.6042450933992
891hh3ok,0.7330882875356216,0.0067379469990854705,0.03287173452865797,1667.9054592709654
ho4clsx6,0.48480672538863717,0.0067379469991441995,0.019935963712174848,1126.9652152619465
