subjectID,l_fit,beta,tau,phi,NLL
nq6nfgd1,10.952004034879344,0.006737946999085467,0.2696482223168678,0.319002889981994,1138.5058658377895
hhhockrt,0.7024857584733144,0.1685295271511078,0.028233915793120914,0.03429199955349062,795.6652378982848
00rzqb1d,0.7672757881003511,0.006737946999085467,0.026071616332616274,0.03341316761062263,680.9061095421213
sfbdt8n9,3.349033332786684,0.006737946999085467,0.029431663757416925,0.02278911534046944,838.3217831223947
oo6hmrca,6.533558394467157,0.006737946999085467,0.01688230950709261,0.01909398609479543,593.2706668749358
hmh1ucnb,6.756235318754788,0.0067379469990854705,0.03323936772556116,0.030949913881987562,939.0327186425206
6fu1vnrn,6.392619349784029,0.006737946999085482,0.030383775138941714,0.036066669440294345,808.4120198873721
6ktxvhv6,5.3912495727718595,0.006737946999086095,0.017783614804361844,0.02712547459967877,697.980651906558
u4h0rknc,10.113792217021405,0.006737946999085545,0.01915611724915059,0.030869626568030842,594.9717650897493
9jehfmot,9.103613818473196,0.006737946999085467,0.025286798172626607,0.03350086406633822,824.1865324168181
23fx2n0v,9.363717117743073,0.006737946999085467,0.03168394165280261,0.0693177010180081,311.8814776224199
tcd29yg9,6.312342892121268,0.0067379469990854705,0.02684346347455028,0.04133731382548743,719.9916796915664
2z7pz06e,12.653591628072112,0.0067379469990855,0.025447915679823734,0.030967289233919934,762.9986654680192
tl83w2xc,0.690423497583267,0.03601876793664418,0.008375228083461361,0.011083882243213612,230.081336472787
bbcfhwnz,12.872479338185197,0.0067379469990854705,0.013829427674660043,0.017747845910560417,713.429888402243
0scns8fh,2.847146065500799,0.006737946999085897,0.012268264988538214,0.01611117209182289,562.9824668113444
vffduu0s,4.360919004095367,0.006737946999085467,0.02413923548448423,0.027551151173339387,613.0422910955106
on95gvhw,6.318493182283807,0.006737946999085467,0.02868398893548,0.03195171817590203,792.6895791189177
xdd8fo9z,10.680130908702658,0.006737946999085467,0.03183111802493516,0.04044922509814004,766.6480938331486
s6mhm6ft,12.158634783762288,0.006737946999085473,0.03381482088511032,0.053567892930700266,836.0523893850244
rxmy5fgo,10.205939569034161,0.006737946999085467,0.04610477052476368,0.08304280379804277,706.8587170142256
0pgnsg7b,6.998133444721961,0.006737946999085467,0.038333550035226205,0.04657835262483155,793.2104239053872
bhk2nvdy,7.55199687144254,0.006737946999085467,0.030308705225005946,0.05819565528693681,432.03149637803034
ez5nwule,3.4422587492544396,0.04798685881588567,0.029123289249291202,0.014779793365848844,664.4560719209132
2xmlbgk1,6.220024887411524,0.006737946999085467,0.031881694708122625,0.030061878580523053,995.462405607721
pdpu75ae,9.052218117110343,0.006737946999085515,0.02400044772276598,0.03862003242775291,676.3778174724322
pkup4jsd,0.7870693960190321,0.006737946999085488,0.02336109967670316,0.018237788159100203,1004.7107651957958
qulmqfln,0.6863457568012399,0.006737946999085488,0.01221457216061379,0.017485397881555106,475.30074484240714
