"","X","subjectID","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","bonus","trials","slope_score","slope_novel","slope_dprev","slope_dhv","slope_dprew"
"1",1,"y3nzs4ud",1.37619047619048,1.45714285714286,124,124,86,63.1727272727274,0.821527272727277,210,1.17795197560878,-0.332782436460384,-0.17017211886165,-0.240481137920403,-1.79874302794464
"2",2,"xove9k48",0.766666666666667,0.952380952380952,147,147,63,64.4000000000001,0.860800000000004,210,0.510246885695659,-0.535830396555517,-0.192076550947594,-0.218881821695014,-0.948640455288399
"3",3,"7ewwuwva",2.46190476190476,2.36666666666667,4,4,203,52.1863636363637,0.469963636363638,210,0.0529088742935881,-0.0380268072433374,0.00722245050055476,0.0146915487895016,-0.581306526462613
"4",4,"2f18hawm",1.81428571428571,2.64285714285714,31,31,176,55.4318181818181,0.573818181818179,210,0.176433960689072,0.0420815398749861,-0.00457047666916416,0.00533213994403714,-2.08657095919797
"5",5,"oo6hmrca",2.66190476190476,3.24761904761905,38,38,168,56.5727272727272,0.61032727272727,210,0.22350905080867,-0.0117916071770282,-5.657209111673e-05,0.0123714240485787,-1.07555394542518
"6",6,"y8dydnnh",3.7952380952381,3.63333333333333,3,3,206,49.9,0.3968,210,0.640832284650111,-0.248753467504868,-0.0570584907820139,-0.0976094154532531,-1.66977750352206
"7",7,"6xlyhhqs",1.2952380952381,1.64761904761905,127,127,82,58.1863636363636,0.661963636363635,210,0.574340085749355,0.0167252995261972,-0.00866901478299452,0.0105390593253177,-0.686200667734226
"8",8,"2f00cejq",2.88571428571429,2.95714285714286,7,7,198,54.6318181818182,0.548218181818182,210,1.10640864697718,-0.241280339171982,-0.176636376229719,-0.231158395586389,-1.19960972293156
"9",9,"qol84cpr",1.91428571428571,2.61904761904762,12,12,198,55.6409090909092,0.580509090909094,210,0.979270591481412,-0.371632379071579,-0.24869492896651,-0.296493087318433,-1.27641814197325
"10",10,"vffduu0s",2.05238095238095,1.92380952380952,11,11,190,47.9818181818183,0.335418181818185,210,0.736888325207911,-0.47572546926982,-0.231497877379638,-0.26987775899786,-1.04819890351594
"11",11,"on95gvhw",1.32857142857143,1.90952380952381,48,48,150,53.3590909090909,0.507490909090909,210,0.0783390977719379,-0.157209162929515,-0.0203142763812864,-0.0182492978536628,-1.48846661749116
"12",12,"9jehfmot",3.24761904761905,2.63809523809524,3,3,206,51.1045454545455,0.435345454545456,210,0.0160822934086284,0.0528111936586671,0.00101459789265002,0.0296726293932136,-1.10673261768658
"13",13,"6fu1vnrn",1.23809523809524,1.41428571428571,120,120,88,54.1636363636362,0.533236363636358,210,0.0272869744733891,-0.0471355616682506,-0.000565189941825125,0.00425475917357521,-1.29416559638954
"14",14,"z978tvl5",2.17142857142857,2.41904761904762,13,13,195,58.8363636363635,0.682763636363632,210,-0.0153674418566766,0.000484712146212901,0.00183003254340232,-0.00455058286111427,-0.880579200652716
"15",15,"bhk2nvdy",2.02857142857143,2.0952380952381,39,39,170,50.2681818181818,0.408581818181818,210,0.0705026690753806,-0.0521450488436954,-0.0531953283378148,-0.0346611192043525,-0.49431096734256
"16",16,"0pgnsg7b",2.47142857142857,2.60952380952381,2,2,206,52.5,0.48,210,0.905472827479369,-0.174793186278319,-0.0990770838985164,-0.132365996632096,-2.13719161905207
"17",17,"ez5nwule",1.5952380952381,1.90952380952381,80,80,130,57.5272727272728,0.640872727272729,210,0.0219471234326062,0.0446984947028607,-0.00428807565306102,0.00177952809568895,-1.38395150859667
"18",18,"bbcfhwnz",2.15238095238095,2.17142857142857,28,28,175,53.3136363636363,0.506036363636362,210,1.38682098444245,-0.45911230367429,-0.223490864306744,-0.300511574923162,-1.61161630495983
