"","X","subjectID","score","variation","variationR","bonus","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","trials","slope_score","slope_novel","slope_dprev","slope_dhv","slope_dprew"
"53",53,"4z1o75zp",41.2363636363635,27,22,0.179345454545448,3.00407285714286,2.0148480952381,147,94,63,210,0.785471373927065,-0.325301743206257,-0.156008103941406,-0.137704070762921,-1.37806100784359
"54",54,"et0kuusz",56.2545454545455,24,23,0.900218181818184,0.625129047619048,0.798624761904762,182,182,28,210,0.258590099315917,-0.191354411524196,-0.0112125206281936,-0.0343968630310228,-0.137718573559423
"55",55,"s0k86u6z",42.090909090909,14,9,0.220363636363632,0,0,210,210,0,210,0.832373659423187,-0.512095903622794,-0.250955409866272,-0.243212764880743,-0.912205478168134
"56",56,"1fzhpzza",52.2227272727273,41,31,0.70669090909091,0.714515238095238,0.925887619047619,175,175,35,210,0.673625866710743,-0.363381302784512,-0.283047449087233,-0.250547008455049,-1.32511220351146
"57",57,"rnrzj41w",49.6409090909091,51,38,0.582763636363637,0.911776190476191,1.16102,162,162,48,210,0.701420063159373,-0.286150666233801,-0.108466248420683,-0.229270846320374,-0.74828426333253
"58",58,"pdpu75ae",45.2090909090909,12,11,0.370036363636364,0.535891904761905,0.70452,190,190,20,210,0.902068826444453,-0.23813143135026,-0.198183083232907,-0.232655906096931,-1.46856354340029
"59",59,"rp6yd4ek",52.5363636363636,20,12,0.721745454545452,1.48338523809524,1.81455047619048,164,147,46,210,1.00428641308493,-0.607936202344383,-0.356949061264025,-0.34119931181172,-1.26226764453385
"60",60,"8scmmnfe",49.2181818181819,33,30,0.562472727272731,1.49765285714286,1.79101095238095,142,142,68,210,0.25548255552052,-0.0890227222749478,-0.0054338102287281,-0.00378889669494545,-0.288126796699225
"61",61,"qulmqfln",49.0545454545456,35,29,0.554618181818189,0.795285238095238,0.933933333333333,170,170,40,210,0.257807738755724,-0.267576351688769,-0.0847862732080051,-0.0966107680133326,-1.05738744497619
"62",62,"226lmynp",44.1590909090909,101,70,0.319636363636363,1.93968666666667,2.26393857142857,114,94,96,210,0.0755246861156047,-0.0152954257462115,-0.00199046457310062,-0.00485792041617963,-0.145352813392299
"63",63,"dd2vv1pc",54.5954545454545,35,24,0.820581818181816,1.0435480952381,1.1796919047619,172,165,38,210,0.861141923665149,-0.261622663747972,-0.187155156627305,-0.22223434461673,-1.22895184750504
"64",64,"n23x07jd",53.4636363636364,80,64,0.766254545454547,1.49235714285714,1.82567285714286,127,127,83,210,0.195779380073075,-0.365177037092896,-0.0453523833665184,-0.0490584827403593,-0.644366885543564
"65",65,"nrv2ltos",45.8090909090908,48,42,0.398836363636358,1.05063571428571,1.21721571428571,158,153,52,210,0.540286759647602,-0.271783899774668,-0.199078157833078,-0.194701397256863,-0.832313754663027
"66",66,"k7c9p0th",55.7545454545455,23,20,0.876218181818184,0.5033,0.652113333333333,183,183,27,210,0.0811161082954068,-0.0665889338473936,-0.00454066911048326,0.0101330349343035,0.016354008523311
